n,,q,,p,te,P
625,,16.87774241,,0.810620571,25.24207929,647.098526
625,,2.176496786,,1.774583429,24.69129457,380.882176
625,,3.823412768,,1.564115,26.65369271,433.2113034
625,,5.391344107,,1.382802571,22.94410343,495.7614747
625,,7.061787321,,1.852028286,26.13573629,556.5029448
625,,8.64652375,,1.498514571,24.11132929,623.0794244
625,,10.28055563,,1.555155833,23.49853567,695.4101105
625,,11.76053938,,1.606937571,25.98253786,774.4897841
625,,13.57718848,,1.478470143,23.00611243,861.2546841
625,,15.13335571,,2.072518571,25.36609686,948.1890795
625,,16.82900705,,1.709893857,25.68343614,1041.700974
625,,2.332785804,,2.886147,24.75330329,413.7740899
625,,3.789802232,,2.973614143,24.60740014,507.1591221
625,,5.416551875,,2.424210286,23.61161086,613.0287858
625,,7.028176786,,3.019170143,24.52715343,716.495247
625,,8.663329018,,2.705745714,24.41772614,831.9264832
625,,10.2329408,,2.652900857,26.20504029,953.1626128
625,,11.94707786,,3.234194,24.651171,1082.138184
625,,13.6360067,,2.905280571,23.62984871,1222.148621
625,,15.22578491,,2.951747429,25.61048471,1377.165405
625,,16.93488027,,3.338061571,24.22075671,1545.264893
625,,2.326063839,,4.517959,27.189887,467.3591917
625,,3.801565982,,4.481514429,24.02013957,594.7415163
625,,5.42999625,,4.505203429,25.60683714,741.5268329
625,,6.981122054,,4.079711429,25.29679271,893.7196348
625,,8.659968036,,4.438691857,26.07737514,1056.104432
625,,10.31360589,,4.484247571,26.27069671,1230.634888
625,,11.88321759,,4.569892714,25.30408786,1412.087692
625,,13.54693884,,4.601782,24.209814,1609.053772
625,,2.305897321,,5.536588571,25.42445814,508.6110303
625,,3.746108571,,6.158882286,25.42081043,682.2657239
625,,5.361094464,,5.633167286,24.921092,876.6560594
625,,6.984483125,,6.260927429,25.61048471,1078.635635
625,,8.559136518,,5.645922857,24.59281,1291.356293
625,,10.13547018,,5.816301857,27.55464486,1503.406342
625,,2.329424732,,6.964310429,25.37703957,557.5312955
625,,3.741066964,,6.721953,24.47973486,775.104553
625,,5.357733571,,7.063622286,24.99404357,1019.556137
625,,6.987844107,,7.028999857,24.95392029,1270.979919
625,,2.300855893,,8.034873714,25.39892529,600.6495745
625,,3.825093393,,9.33595,26.98562243,877.3997956
625,,5.408149375,,8.168808143,25.83298729,1168.006897
625,,2.314300089,,9.93911,26.442133,630.8848573
625,,3.764594286,,10.20151214,25.86216757,974.5468748
625,,5.505619821,,10.45935829,24.10403414,1323.146377
625,,3.796524375,,11.82056857,25.14724186,1081.45575
625,,3.803246429,,12.84102029,25.97524271,1201.155304
652,,5.534183254,,0.41086775,26.43483775,418.5931652
652,,7.135663062,,0.5017515,24.98902813,439.9488606
652,,8.773958703,,0.57748825,25.74863675,465.7922694
652,,10.3878809,,0.695212333,25.73409733,494.2744976
652,,11.96157855,,0.513710125,26.42207138,528.1009576
652,,13.59711281,,0.5036652,25.3905358,567.2490012
652,,15.18482108,,0.551357,26.23341033,603.8690576
652,,16.78411926,,0.5023894,25.0637124,650.6204328
652,,2.18058616,,1.6185087,24.1751619,387.3101973
652,,3.750159111,,1.552675444,24.48297711,439.4382741
652,,5.447359657,,1.5100858,23.9811107,499.9571685
652,,6.96539085,,1.6019265,24.5836909,563.9652101
652,,8.603686376,,1.5853441,26.9199659,629.1620206
652,,10.30456849,,1.5719506,25.6969322,698.9157715
652,,11.82137242,,1.644658,25.1760579,780.5723487
652,,13.54584362,,1.652594667,24.22197256,854.8014915
652,,15.21822781,,1.7632854,25.6662925,948.1789216
652,,16.85652334,,1.6822871,25.7224654,1046.10614
652,,2.249308785,,2.9119316,25.7582117,425.46698
652,,3.658120132,,2.9948434,27.1804032,519.0294576
652,,5.415452798,,2.7263368,25.1632914,621.5835015
652,,7.020614206,,2.8621846,24.8288082,727.8888157
652,,8.511647252,,2.6893456,26.6901685,837.9346213
652,,10.18798561,,3.2461297,25.3547894,961.0864035
652,,11.87168707,,2.9495609,25.3726626,1082.787415
652,,13.52225447,,3.1938315,27.4255206,1218.719004
652,,15.14582367,,3.239114,25.6765059,1367.925038
652,,16.71539663,,2.8800425,24.9922199,1530.986877
652,,2.294714652,,4.3354621,25.0739255,471.1498858
652,,3.691254186,,4.4381451,24.0321768,603.0420532
652,,5.365138089,,3.7582689,24.5990107,753.8552465
652,,6.902804326,,4.4100827,25.6765058,901.3791671
652,,8.543554046,,4.4662075,25.1428648,1064.924849
652,,10.23093728,,4.6237398,25.5003278,1230.354614
652,,11.85818806,,4.491081,25.9088568,1411.320135
652,,13.46089508,,4.5771816,25.4492616,1601.166748
652,,15.12864308,,4.5924884,27.2135962,1812.309282
652,,2.28857881,,5.7373081,25.8654507,512.9762296
652,,3.78206618,,5.3820631,24.918174,688.1287893
652,,5.324640934,,5.6881986,25.9624761,884.2181563
652,,6.910167297,,5.4585969,26.3250455,1081.592143
652,,8.649092112,,5.7200878,25.3420228,1293.392334
652,,10.22848283,,5.8272354,27.8519227,1515.756137
652,,2.275079737,,7.1187449,24.5479445,565.0641757
652,,3.77224856,,7.0779268,24.7675289,776.1068117
652,,5.417907252,,6.9879995,27.1855098,1023.304937
652,,7.048839612,,7.0237152,26.1207811,1270.626455
652,,8.565643545,,7.3317643,27.8161765,1534.431396
652,,2.326621511,,7.894926,25.5233076,603.3713937
652,,3.709661971,,8.6940676,26.4067513,876.7846125
652,,5.409317022,,8.2763201,25.3777691,1169.897727
652,,6.96539085,,8.8509622,25.0688191,1470.594327
652,,2.31803115,,9.5346648,25.7045922,645.3343912
652,,3.804155353,,9.8701385,25.7173586,971.5410875
652,,5.40195379,,10.2081633,26.9940118,1328.693715
652,,3.783293374,,11.6623072,25.7505519,1080.08505
652,,3.8311535,,13.0029259,24.4943252,1198.686279
652,,3.883922663,,13.9532218,25.9956692,1308.033958
682,,5.418168693,,0.32795575,25.76778663,430.7646707
682,,7.114195789,,0.40209825,25.41989863,453.3198187
682,,8.738017244,,0.436379,25.68799575,477.5610253
682,,10.4388579,,0.43319,24.65390675,505.6284066
682,,12.01454217,,0.43319,25.35287438,537.1269307
682,,13.63854204,,0.587498,25.88729578,571.8542786
682,,15.30729139,,0.596001778,26.64761333,614.381176
682,,16.92754705,,0.661197333,25.60075767,661.6833544
682,,18.62375242,,0.779187,26.24014825,716.2659524
682,,2.154123522,,1.484645222,24.02621911,397.0051492
682,,3.751986649,,1.3474511,26.3914316,448.8456422
682,,5.4417024,,1.238744889,25.38230822,512.3515217
682,,6.941865148,,1.6848382,25.1505249,572.6933036
682,,8.690201133,,1.8557639,26.1871671,635.7942912
682,,10.26267626,,1.6529492,25.7428916,708.669084
682,,11.94169492,,1.4801099,26.9250726,785.0114135
682,,13.59889143,,1.4858501,27.5148862,864.0953424
682,,15.28304446,,1.565573,25.4824545,954.352317
682,,16.94152469,,1.7109871,25.7760848,1044.611539
